var,cat1,cat2
V1068,cat_1,cat_3
V1069,cat_1,cat_3
V1070,cat_1,cat_3
V1071,cat_1,cat_3
V1072,cat_1,cat_3
V1073,cat_1,cat_3
V1074,cat_1,cat_3
V1075,cat_1,cat_3
V1076,cat_1,cat_3
V1077,cat_1,cat_3
V1078,cat_1,cat_3
V1079,cat_1,cat_3
V1080,cat_1,cat_3
V1081,cat_1,cat_3
V1082,cat_1,cat_3
V1083,cat_1,cat_3
V1084,cat_1,cat_3
V1085,cat_1,cat_3
V1086,cat_1,cat_3
V1087,cat_1,cat_3
V1088,cat_1,cat_3
V1089,cat_1,cat_3
V1090,cat_1,cat_3
V1091,cat_1,cat_3
V1092,cat_1,cat_3
V1093,cat_1,cat_3
V1094,cat_1,cat_3
V1095,cat_1,cat_3
V1096,cat_1,cat_3
V1097,cat_1,cat_3
V1098,cat_1,cat_3
V1099,cat_1,cat_3
V1100,cat_1,cat_3
V1101,cat_1,cat_3
V1102,cat_1,cat_3
V1103,cat_1,cat_3
V1104,cat_1,cat_3
V1105,cat_1,cat_3
V1106,cat_1,cat_3
V1107,cat_1,cat_3
V1108,cat_1,cat_3
V1109,cat_1,cat_3
V1110,cat_1,cat_3
V1111,cat_1,cat_3
V1112,cat_1,cat_3
V1113,cat_1,cat_3
V1114,cat_1,cat_3
V1115,cat_1,cat_3
V1116,cat_1,cat_3
V1117,cat_1,cat_3
V1118,cat_1,cat_3
V1119,cat_1,cat_3
V1120,cat_1,cat_3
V1121,cat_1,cat_3
V1122,cat_1,cat_3
V1123,cat_1,cat_3
V1124,cat_1,cat_3
V1125,cat_1,cat_3
V1126,cat_1,cat_3
V1127,cat_1,cat_3
V1128,cat_1,cat_3
V1129,cat_1,cat_3
V1130,cat_1,cat_3
V1131,cat_1,cat_3
V1132,cat_1,cat_3
V1133,cat_1,cat_3
V1134,cat_1,cat_3
V1135,cat_1,cat_3
V1136,cat_1,cat_3
V1137,cat_1,cat_3
V1138,cat_1,cat_3
V1139,cat_1,cat_3
V1140,cat_1,cat_3
V1141,cat_1,cat_3
V1142,cat_1,cat_3
V1143,cat_1,cat_3
V1144,cat_1,cat_3
V1145,cat_1,cat_3
V1146,cat_1,cat_3
V1147,cat_1,cat_3
V1148,cat_1,cat_3
V1149,cat_1,cat_3
V1150,cat_1,cat_3
V1151,cat_1,cat_3
V1152,cat_1,cat_3
V1153,cat_1,cat_3
V1154,cat_1,cat_3
V1155,cat_1,cat_3
V1156,cat_1,cat_3
V1157,cat_1,cat_3
V1158,cat_1,cat_3
V1159,cat_1,cat_3
V1160,cat_1,cat_3
V1161,cat_1,cat_3
V1162,cat_1,cat_3
V1163,cat_1,cat_3
V1164,cat_1,cat_3
V1165,cat_1,cat_3
V1166,cat_1,cat_3
V1167,cat_1,cat_3
V1168,cat_1,cat_3
V1169,cat_1,cat_3
V1170,cat_1,cat_3
V1171,cat_1,cat_3
V1172,cat_1,cat_3
V1173,cat_1,cat_3
V1174,cat_1,cat_3
V1175,cat_1,cat_3
V1176,cat_1,cat_3
V1177,cat_1,cat_3
V1178,cat_1,cat_3
V1179,cat_1,cat_3
V1180,cat_1,cat_3
V1181,cat_1,cat_3
V1182,cat_1,cat_3
V1183,cat_1,cat_3
V1184,cat_1,cat_3
V1185,cat_1,cat_3
V1186,cat_1,cat_3
V1187,cat_1,cat_3
V1188,cat_1,cat_3
V1189,cat_1,cat_3
V1190,cat_1,cat_3
V1191,cat_1,cat_3
V1192,cat_1,cat_3
V1193,cat_1,cat_3
V1194,cat_1,cat_3
V1195,cat_1,cat_3
V1196,cat_1,cat_3
V1197,cat_1,cat_3
V1198,cat_1,cat_3
V1199,cat_1,cat_3
V1200,cat_1,cat_3
V1201,cat_1,cat_3
V1202,cat_1,cat_3
V1203,cat_1,cat_3
V1204,cat_1,cat_3
V1205,cat_1,cat_3
V1206,cat_1,cat_3
V1207,cat_1,cat_3
V1208,cat_1,cat_3
V1209,cat_1,cat_3
V1210,cat_1,cat_3
V1211,cat_1,cat_3
V1212,cat_1,cat_3
V1213,cat_1,cat_3
V1214,cat_1,cat_3
V1215,cat_1,cat_3
V1216,cat_1,cat_3
V1217,cat_1,cat_3
V1218,cat_1,cat_3
V1219,cat_1,cat_3
V1220,cat_1,cat_3
V1221,cat_1,cat_3
V1222,cat_1,cat_3
V1223,cat_1,cat_3
V1224,cat_1,cat_3
V1225,cat_1,cat_3
V1226,cat_1,cat_3
V1227,cat_1,cat_3
V1228,cat_1,cat_3
V1229,cat_1,cat_3
V1230,cat_1,cat_3
V1231,cat_1,cat_3
V1232,cat_1,cat_3
V1233,cat_1,cat_3
V1234,cat_1,cat_3
V1235,cat_1,cat_3
V1236,cat_1,cat_3
V1237,cat_1,cat_3
V1238,cat_1,cat_3
V1239,cat_1,cat_3
V1240,cat_1,cat_3
V1241,cat_1,cat_3
V1242,cat_1,cat_3
V1243,cat_1,cat_3
V1244,cat_1,cat_3
V1245,cat_1,cat_3
V1246,cat_1,cat_3
V1247,cat_1,cat_3
V1248,cat_1,cat_3
V1249,cat_1,cat_3
V1250,cat_1,cat_3
V1251,cat_1,cat_3
V1252,cat_1,cat_3
V1253,cat_1,cat_3
V1254,cat_1,cat_3
V1255,cat_1,cat_3
V1256,cat_1,cat_3
V1257,cat_1,cat_3
V1258,cat_1,cat_3
V1259,cat_1,cat_3
V1260,cat_1,cat_3
V1261,cat_1,cat_3
V1262,cat_1,cat_3
V1263,cat_1,cat_3
V1264,cat_1,cat_3
V1265,cat_1,cat_3
V1266,cat_1,cat_3
V1267,cat_1,cat_3
V1268,cat_1,cat_3
V1269,cat_1,cat_3
V1270,cat_1,cat_3
V1271,cat_1,cat_3
V1272,cat_1,cat_3
V1273,cat_1,cat_3
V1274,cat_1,cat_3
V1275,cat_1,cat_3
V1276,cat_1,cat_3
V1277,cat_1,cat_3
V1278,cat_1,cat_3
V1279,cat_1,cat_3
V1280,cat_1,cat_3
V1281,cat_1,cat_3
V1282,cat_1,cat_3
V1283,cat_1,cat_3
V1284,cat_1,cat_3
V1285,cat_1,cat_3
V1286,cat_1,cat_3
V1287,cat_1,cat_3
V1288,cat_1,cat_3
V1289,cat_1,cat_3
V1290,cat_1,cat_3
V1291,cat_1,cat_3
V1292,cat_1,cat_3
V1293,cat_1,cat_3
V1294,cat_1,cat_3
V1295,cat_1,cat_3
V1296,cat_1,cat_3
V1297,cat_1,cat_3
V1298,cat_1,cat_3
V1299,cat_1,cat_3
V1300,cat_1,cat_3
V1301,cat_1,cat_3
V1302,cat_1,cat_3
V1303,cat_1,cat_3
V1304,cat_1,cat_3
V1305,cat_1,cat_3
V1306,cat_1,cat_3
V1307,cat_1,cat_3
V1308,cat_1,cat_3
V1309,cat_1,cat_3
V1310,cat_1,cat_3
V1311,cat_1,cat_3
V1312,cat_1,cat_3
V1313,cat_1,cat_3
V1314,cat_1,cat_3
V1315,cat_1,cat_3
V1316,cat_1,cat_3
V1317,cat_1,cat_3
V1318,cat_1,cat_3
V1319,cat_1,cat_3
V1320,cat_1,cat_3
V1321,cat_1,cat_3
V1322,cat_1,cat_3
V1323,cat_1,cat_3
V1324,cat_1,cat_3
V1325,cat_1,cat_3
V1326,cat_1,cat_3
V1327,cat_1,cat_3
V1328,cat_1,cat_3
V1329,cat_1,cat_3
V1330,cat_1,cat_3
V1331,cat_1,cat_3
V1332,cat_1,cat_3
V1333,cat_1,cat_3
V1334,cat_1,cat_3
V1335,cat_1,cat_3
V1336,cat_1,cat_3
V1337,cat_1,cat_3
V1338,cat_1,cat_3
V1339,cat_1,cat_3
V1340,cat_1,cat_3
V1341,cat_1,cat_3
V1342,cat_1,cat_3
V1343,cat_1,cat_3
V1344,cat_1,cat_3
V1345,cat_1,cat_3
V1346,cat_1,cat_3
V1347,cat_1,cat_3
V1348,cat_1,cat_3
V1349,cat_1,cat_3
V1350,cat_1,cat_3
V1351,cat_1,cat_3
V1352,cat_1,cat_3
V1353,cat_1,cat_3
V1354,cat_1,cat_3
V1355,cat_1,cat_3
V1356,cat_1,cat_3
V1357,cat_1,cat_3
V1358,cat_1,cat_3
V1359,cat_1,cat_3
V1360,cat_1,cat_3
V1361,cat_1,cat_3
V1362,cat_1,cat_3
V1363,cat_1,cat_3
V1364,cat_1,cat_3
V1365,cat_1,cat_3
V1366,cat_1,cat_3
V1367,cat_1,cat_3
V1368,cat_1,cat_3
V1369,cat_1,cat_3
V1370,cat_1,cat_3
V1371,cat_1,cat_3
V1372,cat_1,cat_3
V1373,cat_1,cat_3
V1374,cat_1,cat_3
V1375,cat_1,cat_3
V1376,cat_1,cat_3
V1377,cat_1,cat_3
V1378,cat_1,cat_3
V1379,cat_1,cat_3
V1380,cat_1,cat_3
V1381,cat_1,cat_3
V1382,cat_1,cat_3
V1383,cat_1,cat_3
V1384,cat_1,cat_3
V1385,cat_1,cat_3
V1386,cat_1,cat_3
V1387,cat_1,cat_3
V1388,cat_1,cat_3
V1389,cat_1,cat_3
V1390,cat_1,cat_3
V1391,cat_1,cat_3
V1392,cat_1,cat_3
V1393,cat_1,cat_3
V1394,cat_1,cat_3
V1395,cat_1,cat_3
V1396,cat_1,cat_3
V1397,cat_1,cat_3
V1398,cat_1,cat_3
V1399,cat_1,cat_3
V1400,cat_1,cat_3
V1401,cat_1,cat_3
V1402,cat_1,cat_3
V1403,cat_1,cat_3
V1404,cat_1,cat_3
V1405,cat_1,cat_3
V1406,cat_1,cat_3
V1407,cat_1,cat_3
V1408,cat_1,cat_3
V1409,cat_1,cat_3
V1410,cat_1,cat_3
V1411,cat_1,cat_3
V1412,cat_1,cat_3
V1413,cat_1,cat_3
V1414,cat_1,cat_3
V1415,cat_1,cat_3
V1416,cat_1,cat_3
V1417,cat_1,cat_3
V1418,cat_1,cat_3
V1419,cat_1,cat_3
V1420,cat_1,cat_3
V1421,cat_1,cat_3
V1422,cat_1,cat_3
V1423,cat_1,cat_3
V1424,cat_1,cat_3
V1425,cat_1,cat_3
V1426,cat_1,cat_3
V1427,cat_1,cat_3
V1428,cat_1,cat_3
V1429,cat_1,cat_3
V1430,cat_1,cat_3
V1431,cat_1,cat_3
V1432,cat_1,cat_3
V1433,cat_1,cat_3
V1434,cat_1,cat_3
V1435,cat_1,cat_3
V1436,cat_1,cat_3
V1437,cat_1,cat_3
V1438,cat_1,cat_3
V1439,cat_1,cat_3
V1440,cat_1,cat_3
V1441,cat_1,cat_3
V1442,cat_1,cat_3
V1443,cat_1,cat_3
V1444,cat_1,cat_3
V1445,cat_1,cat_3
V1446,cat_1,cat_3
V1447,cat_1,cat_3
V1448,cat_1,cat_3
V1449,cat_1,cat_3
V1450,cat_1,cat_3
V1451,cat_1,cat_3
V1452,cat_1,cat_3
V1453,cat_1,cat_3
V1454,cat_1,cat_3
V1455,cat_1,cat_3
V1456,cat_1,cat_3
V1457,cat_1,cat_3
V1458,cat_1,cat_3
V1459,cat_1,cat_3
V1460,cat_1,cat_3
V1461,cat_1,cat_3
V1462,cat_1,cat_3
V1463,cat_1,cat_3
V1464,cat_1,cat_3
V1465,cat_1,cat_3
V1466,cat_1,cat_3
V1467,cat_1,cat_3
V1468,cat_1,cat_3
V1469,cat_1,cat_3
V1470,cat_1,cat_3
V1471,cat_1,cat_3
V1472,cat_1,cat_3
V1473,cat_1,cat_3
V1474,cat_1,cat_3
V1475,cat_1,cat_3
V1476,cat_1,cat_3
V1477,cat_1,cat_3
V1478,cat_1,cat_3
V1479,cat_1,cat_3
V1480,cat_1,cat_3
V1481,cat_1,cat_3
V1482,cat_1,cat_3
V1483,cat_1,cat_3
V1484,cat_1,cat_3
V1485,cat_1,cat_3
V1486,cat_1,cat_3
V1487,cat_1,cat_3
V1488,cat_1,cat_3
V1489,cat_1,cat_3
V1490,cat_1,cat_3
V1491,cat_1,cat_3
V1492,cat_1,cat_3
V1493,cat_1,cat_3
V1494,cat_1,cat_3
V1495,cat_1,cat_3
V1496,cat_1,cat_3
V1497,cat_1,cat_3
V1498,cat_1,cat_3
V1499,cat_1,cat_3
V1500,cat_1,cat_3
V1501,cat_1,cat_3
V1502,cat_1,cat_3
V1503,cat_1,cat_3
V1504,cat_1,cat_3
V1505,cat_1,cat_3
V1506,cat_1,cat_3
V1507,cat_1,cat_3
V1508,cat_1,cat_3
V1509,cat_1,cat_3
V1510,cat_1,cat_3
V1511,cat_1,cat_3
V1512,cat_1,cat_3
V1513,cat_1,cat_3
V1514,cat_1,cat_3
V1515,cat_1,cat_3
V1516,cat_1,cat_3
V1517,cat_1,cat_3
V1518,cat_1,cat_3
V1519,cat_1,cat_3
V1520,cat_1,cat_3
V1521,cat_1,cat_3
V1522,cat_1,cat_3
V1523,cat_1,cat_3
V1524,cat_1,cat_3
V1525,cat_1,cat_3
V1526,cat_1,cat_3
V1527,cat_1,cat_3
V1528,cat_1,cat_3
V1529,cat_1,cat_3
V1530,cat_1,cat_3
V1531,cat_1,cat_3
V1532,cat_1,cat_3
V1533,cat_1,cat_3
V1534,cat_1,cat_3
V1535,cat_1,cat_3
V1536,cat_1,cat_3
V1537,cat_1,cat_3
V1538,cat_1,cat_3
V1539,cat_1,cat_3
V1540,cat_1,cat_3
V1541,cat_1,cat_3
V1542,cat_1,cat_3
V1543,cat_1,cat_3
V1544,cat_1,cat_3
V1545,cat_1,cat_3
V1546,cat_1,cat_3
V1547,cat_1,cat_3
V1548,cat_1,cat_3
V1549,cat_1,cat_3
V1550,cat_1,cat_3
V1551,cat_1,cat_3
V1552,cat_1,cat_3
V1553,cat_1,cat_3
V1554,cat_1,cat_3
V1555,cat_1,cat_3
V1556,cat_1,cat_3
V1557,cat_1,cat_3
V1558,cat_1,cat_3
V1559,cat_1,cat_3
V1560,cat_1,cat_3
V1561,cat_1,cat_3
V1562,cat_1,cat_3
V1563,cat_1,cat_3
V1564,cat_1,cat_3
V1565,cat_1,cat_3
V1566,cat_1,cat_3
V1567,cat_1,cat_3
V1568,cat_1,cat_3
V1569,cat_1,cat_3
V1570,cat_1,cat_3
V1571,cat_1,cat_3
V1572,cat_1,cat_3
V1573,cat_1,cat_3
V1574,cat_1,cat_3
V1575,cat_1,cat_3
V1576,cat_1,cat_3
V1577,cat_1,cat_3
V1578,cat_1,cat_3
V1579,cat_1,cat_3
V1580,cat_1,cat_3
V1581,cat_1,cat_3
V1582,cat_1,cat_3
V1583,cat_1,cat_3
V1584,cat_1,cat_3
V1585,cat_1,cat_3
V1586,cat_1,cat_3
V1587,cat_1,cat_3
V1588,cat_1,cat_3
V1589,cat_1,cat_3
V1590,cat_1,cat_3
V1591,cat_1,cat_3
V1592,cat_1,cat_3
V1593,cat_1,cat_3
V1594,cat_1,cat_3
V1595,cat_1,cat_3
V1596,cat_1,cat_3
V1597,cat_1,cat_3
V1598,cat_1,cat_3
V1599,cat_1,cat_3
V1600,cat_1,cat_3
V1601,cat_1,cat_3
V1602,cat_1,cat_3
V1603,cat_1,cat_3
V1604,cat_1,cat_3
V1605,cat_1,cat_3
V1606,cat_1,cat_3
V1607,cat_1,cat_3
V1608,cat_1,cat_3
V1609,cat_1,cat_3
V1610,cat_1,cat_3
V1611,cat_1,cat_3
V1612,cat_1,cat_3
V1613,cat_1,cat_3
V1614,cat_1,cat_3
V1615,cat_1,cat_3
V1616,cat_1,cat_3
V1617,cat_1,cat_3
V1618,cat_1,cat_3
V1619,cat_1,cat_3
V1620,cat_1,cat_3
V1621,cat_1,cat_3
V1622,cat_1,cat_3
V1623,cat_1,cat_3
V1624,cat_1,cat_3
V1625,cat_1,cat_3
V1626,cat_1,cat_3
V1627,cat_1,cat_3
V1628,cat_1,cat_3
V1629,cat_1,cat_3
V1630,cat_1,cat_3
V1631,cat_1,cat_3
V1632,cat_1,cat_3
V1633,cat_1,cat_3
V1634,cat_1,cat_3
V1635,cat_1,cat_3
V1636,cat_1,cat_3
V1637,cat_1,cat_3
V1638,cat_1,cat_3
V1639,cat_1,cat_3
V1640,cat_1,cat_3
V1641,cat_1,cat_3
V1642,cat_1,cat_3
V1643,cat_1,cat_3
V1644,cat_1,cat_3
V1645,cat_1,cat_3
V1646,cat_1,cat_3
V1647,cat_1,cat_3
V1648,cat_1,cat_3
V1649,cat_1,cat_3
V1650,cat_1,cat_3
V1651,cat_1,cat_3
V1652,cat_1,cat_3
V1653,cat_1,cat_3
V1654,cat_1,cat_3
V1655,cat_1,cat_3
V1656,cat_1,cat_3
V1657,cat_1,cat_3
V1658,cat_1,cat_3
V1659,cat_1,cat_3
V1660,cat_1,cat_3
V1661,cat_1,cat_3
V1662,cat_1,cat_3
V1663,cat_1,cat_3
V1664,cat_1,cat_3
V1665,cat_1,cat_3
V1666,cat_1,cat_3
V1667,cat_1,cat_3
V1668,cat_1,cat_3
V1669,cat_1,cat_3
V1670,cat_1,cat_3
V1671,cat_1,cat_3
V1672,cat_1,cat_3
V1673,cat_1,cat_3
V1674,cat_1,cat_3
V1675,cat_1,cat_3
V1676,cat_1,cat_3
V1677,cat_1,cat_3
V1678,cat_1,cat_3
V1679,cat_1,cat_3
V1680,cat_1,cat_3
V1681,cat_1,cat_3
V1682,cat_1,cat_3
V1683,cat_1,cat_3
V1684,cat_1,cat_3
V1685,cat_1,cat_3
V1686,cat_1,cat_3
V1687,cat_1,cat_3
V1688,cat_1,cat_3
V1689,cat_1,cat_3
V1690,cat_1,cat_3
V1691,cat_1,cat_3
V1692,cat_1,cat_3
V1693,cat_1,cat_3
V1694,cat_1,cat_3
V1695,cat_1,cat_3
V1696,cat_1,cat_3
V1697,cat_1,cat_3
V1698,cat_1,cat_3
V1699,cat_1,cat_3
V1700,cat_1,cat_3
V1701,cat_1,cat_3
V1702,cat_1,cat_3
V1703,cat_1,cat_3
V1704,cat_1,cat_3
V1705,cat_1,cat_3
V1706,cat_1,cat_3
V1707,cat_1,cat_3
V1708,cat_1,cat_3
V1709,cat_1,cat_3
V1710,cat_1,cat_3
V1711,cat_1,cat_3
V1712,cat_1,cat_3
V1713,cat_1,cat_3
V1714,cat_1,cat_3
V1715,cat_1,cat_3
V1716,cat_1,cat_3
V1717,cat_1,cat_3
V1718,cat_1,cat_3
V1719,cat_1,cat_3
V1720,cat_1,cat_3
V1721,cat_1,cat_3
V1722,cat_1,cat_3
V1723,cat_1,cat_3
V1724,cat_1,cat_3
V1725,cat_1,cat_3
V1726,cat_1,cat_3
V1727,cat_1,cat_3
V1728,cat_1,cat_3
V1729,cat_1,cat_3
V1730,cat_1,cat_3
V1731,cat_1,cat_3
V1732,cat_1,cat_3
V1733,cat_1,cat_3
V1734,cat_1,cat_3
V1735,cat_1,cat_3
V1736,cat_1,cat_3
V1737,cat_1,cat_3
V1738,cat_1,cat_3
V1739,cat_1,cat_3
V1740,cat_1,cat_3
V1741,cat_1,cat_3
V1742,cat_1,cat_3
V1743,cat_1,cat_3
V1744,cat_1,cat_3
V1745,cat_1,cat_3
V1746,cat_1,cat_3
V1747,cat_1,cat_3
V1748,cat_1,cat_3
V1749,cat_1,cat_3
V1750,cat_1,cat_3
V1751,cat_1,cat_3
V1752,cat_1,cat_3
V1753,cat_1,cat_3
V1754,cat_1,cat_3
V1755,cat_1,cat_3
V1756,cat_1,cat_3
V1757,cat_1,cat_3
V1758,cat_1,cat_3
V1759,cat_1,cat_3
V1760,cat_1,cat_3
V1761,cat_1,cat_3
V1762,cat_1,cat_3
V1763,cat_1,cat_3
V1764,cat_1,cat_3
V1765,cat_1,cat_3
V1766,cat_1,cat_3
V1767,cat_1,cat_3
V1768,cat_1,cat_3
V1769,cat_1,cat_3
V1770,cat_1,cat_3
V1771,cat_1,cat_3
V1772,cat_1,cat_3
V1773,cat_1,cat_3
V1774,cat_1,cat_3
V1775,cat_1,cat_3
V1776,cat_1,cat_3
V1777,cat_1,cat_3
V1778,cat_1,cat_3
V1779,cat_1,cat_3
V1780,cat_1,cat_3
V1781,cat_1,cat_3
V1782,cat_1,cat_3
V1783,cat_1,cat_3
V1784,cat_1,cat_3
V1785,cat_1,cat_3
V1786,cat_1,cat_3
V1787,cat_1,cat_3
V1788,cat_1,cat_3
V1789,cat_1,cat_3
V1790,cat_1,cat_3
V1791,cat_1,cat_3
V1792,cat_1,cat_3
V1793,cat_1,cat_3
V1794,cat_1,cat_3
V1795,cat_1,cat_3
V1796,cat_1,cat_3
V1797,cat_1,cat_3
V1798,cat_1,cat_3
V1799,cat_1,cat_3
V1800,cat_1,cat_3
V1801,cat_1,cat_3
V1802,cat_1,cat_3
V1803,cat_1,cat_3
V1804,cat_1,cat_3
V1805,cat_1,cat_3
V1806,cat_1,cat_3
V1807,cat_1,cat_3
V1808,cat_1,cat_3
V1809,cat_1,cat_3
V1810,cat_1,cat_3
V1811,cat_1,cat_3
V1812,cat_1,cat_3
V1813,cat_1,cat_3
V1814,cat_1,cat_3
V1815,cat_1,cat_3
V1816,cat_1,cat_3
V1817,cat_1,cat_3
V1818,cat_1,cat_3
V1819,cat_1,cat_3
V1820,cat_1,cat_3
V1821,cat_1,cat_3
V1822,cat_1,cat_3
V1823,cat_1,cat_3
V1824,cat_1,cat_3
V1825,cat_1,cat_3
V1826,cat_1,cat_3
V1827,cat_1,cat_3
V1828,cat_1,cat_3
V1829,cat_1,cat_3
V1830,cat_1,cat_3
V1831,cat_1,cat_3
V1832,cat_1,cat_3
V1833,cat_1,cat_3
V1834,cat_1,cat_3
V1835,cat_1,cat_3
V1836,cat_1,cat_3
V1837,cat_1,cat_3
V1838,cat_1,cat_3
V1839,cat_1,cat_3
V1840,cat_1,cat_3
V1841,cat_1,cat_3
V1842,cat_1,cat_3
V1843,cat_1,cat_3
V1844,cat_1,cat_3
V1845,cat_1,cat_3
V1846,cat_1,cat_3
V1847,cat_1,cat_3
V1848,cat_1,cat_3
V1849,cat_1,cat_3
V1850,cat_1,cat_3
V1851,cat_1,cat_3
V1852,cat_1,cat_3
V1853,cat_1,cat_3
V1854,cat_1,cat_3
V1855,cat_1,cat_3
V1856,cat_1,cat_3
V1857,cat_1,cat_3
V1858,cat_1,cat_3
V1859,cat_1,cat_3
V1860,cat_1,cat_3
V1861,cat_1,cat_3
V1862,cat_1,cat_3
V1863,cat_1,cat_3
V1864,cat_1,cat_3
V1865,cat_1,cat_3
V1866,cat_1,cat_3
V1867,cat_1,cat_3
V1868,cat_1,cat_3
V1869,cat_1,cat_3
V1870,cat_1,cat_3
V1871,cat_1,cat_3
V1872,cat_1,cat_3
V1873,cat_1,cat_3
V1874,cat_1,cat_3
V1875,cat_1,cat_3
V1876,cat_1,cat_3
V1877,cat_1,cat_3
V1878,cat_1,cat_3
V1879,cat_1,cat_3
V1880,cat_1,cat_3
V1881,cat_1,cat_3
V1882,cat_1,cat_3
V1883,cat_1,cat_3
V1884,cat_1,cat_3
V1885,cat_1,cat_3
V1886,cat_1,cat_3
V1887,cat_1,cat_3
V1888,cat_1,cat_3
V1889,cat_1,cat_3
V1890,cat_1,cat_3
V1891,cat_1,cat_3
V1892,cat_1,cat_3
V1893,cat_1,cat_3
V1894,cat_1,cat_3
V1895,cat_1,cat_3
V1896,cat_1,cat_3
V1897,cat_1,cat_3
V1898,cat_1,cat_3
V1899,cat_1,cat_3
V1900,cat_1,cat_3
V1901,cat_1,cat_3
V1902,cat_1,cat_3
V1903,cat_1,cat_3
V1904,cat_1,cat_3
V1905,cat_1,cat_3
V1906,cat_1,cat_3
V1907,cat_1,cat_3
V1908,cat_1,cat_3
V1909,cat_1,cat_3
V1910,cat_1,cat_3
V1911,cat_1,cat_3
V1912,cat_1,cat_3
V1913,cat_1,cat_3
V1914,cat_1,cat_3
V1915,cat_1,cat_3
V1916,cat_1,cat_3
V1917,cat_1,cat_3
V1918,cat_1,cat_3
V1919,cat_1,cat_3
V1920,cat_1,cat_3
V1921,cat_1,cat_3
V1922,cat_1,cat_3
V1923,cat_1,cat_3
V1924,cat_1,cat_3
V1925,cat_1,cat_3
V1926,cat_1,cat_3
V1927,cat_1,cat_3
V1928,cat_1,cat_3
V1929,cat_1,cat_3
V1930,cat_1,cat_3
V1931,cat_1,cat_3
V1932,cat_1,cat_3
V1933,cat_1,cat_3
V1934,cat_1,cat_3
V1935,cat_1,cat_3
V1936,cat_1,cat_3
V1937,cat_1,cat_3
V1938,cat_1,cat_3
V1939,cat_1,cat_3
V1940,cat_1,cat_3
V1941,cat_1,cat_3
V1942,cat_1,cat_3
V1943,cat_1,cat_3
V1944,cat_1,cat_3
V1945,cat_1,cat_3
V1946,cat_1,cat_3
V1947,cat_1,cat_3
V1948,cat_1,cat_3
V1949,cat_1,cat_3
V1950,cat_1,cat_3
V1951,cat_1,cat_3
V1952,cat_1,cat_3
V1953,cat_1,cat_3
V1954,cat_1,cat_3
V1955,cat_1,cat_3
V1956,cat_1,cat_3
V1957,cat_1,cat_3
V1958,cat_1,cat_3
V1959,cat_1,cat_3
V1960,cat_1,cat_3
V1961,cat_1,cat_3
V1962,cat_1,cat_3
V1963,cat_1,cat_3
V1964,cat_1,cat_3
V1965,cat_1,cat_3
V1966,cat_1,cat_3
V1967,cat_1,cat_3
V1968,cat_1,cat_3
V1969,cat_1,cat_3
V1970,cat_1,cat_3
V1971,cat_1,cat_3
V1972,cat_1,cat_3
V1973,cat_1,cat_3
V1974,cat_1,cat_3
V1975,cat_1,cat_3
V1976,cat_1,cat_3
V1977,cat_1,cat_3
V1978,cat_1,cat_3
V1979,cat_1,cat_3
V1980,cat_1,cat_3
V1981,cat_1,cat_3
V1982,cat_1,cat_3
V1983,cat_1,cat_3
V1984,cat_1,cat_3
V1985,cat_1,cat_3
V1986,cat_1,cat_3
V1987,cat_1,cat_3
V1988,cat_1,cat_3
V1989,cat_1,cat_3
V1990,cat_1,cat_3
V1991,cat_1,cat_3
V1992,cat_1,cat_3
V1993,cat_1,cat_3
V1994,cat_1,cat_3
V1995,cat_1,cat_3
V1996,cat_1,cat_3
V1997,cat_1,cat_3
V1998,cat_1,cat_3
V1999,cat_1,cat_3
V2000,cat_1,cat_3
V2001,cat_1,cat_3
V2002,cat_1,cat_3
V2003,cat_1,cat_3
V2004,cat_1,cat_3
V2005,cat_1,cat_3
V2006,cat_1,cat_3
V2007,cat_1,cat_3
V2008,cat_1,cat_3
V2009,cat_1,cat_3
V2010,cat_1,cat_3
V2011,cat_1,cat_3
V2012,cat_1,cat_3
V2013,cat_1,cat_3
V2014,cat_1,cat_3
V2015,cat_1,cat_3
V2016,cat_1,cat_3
V2017,cat_1,cat_3
V2018,cat_1,cat_3
V2019,cat_1,cat_3
V2020,cat_1,cat_3
V2021,cat_1,cat_3
V2022,cat_1,cat_3
V2023,cat_1,cat_3
V2024,cat_1,cat_3
V2025,cat_1,cat_3
V2026,cat_1,cat_3
V2027,cat_1,cat_3
V2028,cat_1,cat_3
V2029,cat_1,cat_3
V2030,cat_1,cat_3
V2031,cat_1,cat_3
V2032,cat_1,cat_3
V2033,cat_1,cat_3
V2034,cat_1,cat_3
V2035,cat_1,cat_3
V2036,cat_1,cat_3
V2037,cat_1,cat_3
V2038,cat_1,cat_3
V2039,cat_1,cat_3
V2040,cat_1,cat_3
V2041,cat_1,cat_3
V2042,cat_1,cat_3
V2043,cat_1,cat_3
V2044,cat_1,cat_3
V2045,cat_1,cat_3
V2046,cat_1,cat_3
V2047,cat_1,cat_3
V2048,cat_1,cat_3
V2049,cat_1,cat_3
V2050,cat_1,cat_3
V2051,cat_1,cat_3
V2052,cat_1,cat_3
V2053,cat_1,cat_3
V2054,cat_1,cat_3
V2055,cat_1,cat_3
V2056,cat_1,cat_3
V2057,cat_1,cat_3
V2058,cat_1,cat_3
V2059,cat_1,cat_3
V2060,cat_1,cat_3
V2061,cat_1,cat_3
V2062,cat_1,cat_3
V2063,cat_1,cat_3
V2064,cat_1,cat_3
V2065,cat_1,cat_3
V2066,cat_1,cat_3
